;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9,71111111111111;5,7026104;1,0;2,0;2,0
1;19,46067415730337;5,5592822;1,0;4,0;4,0
2;38,77777777777778;6,019337;1,0;8,0;8,0
3;38,9;5,6090567;2,0;4,0;8,0
4;77,15555555555555;6,0646025;1,0;16,0;16,0
5;77,43333333333334;5,8897854;2,0;8,0;16,0
6;97,85227272727273;201,2171711;1,0;32,0;32,0
7;155,24719101123594;6,061951;2,0;16,0;32,0
8;182,26136363636363;203,32125;2,0;32,0;64,0
9;346,59550561797755;6,249647400000001;3,0;24,0;72,0
